    MJD         APOGEE_0        APOGEE_1         MaNGA_0         MaNGA_1         eBOSS_0         eBOSS_1  
  56917    7.29111111111   12.0380555556           2.275   6.94222222222            -1.0            -1.0  
  56918             -1.0            -1.0   5.89916666667   11.6636111111   2.25916666667   5.82944444444  
  56919             -1.0            -1.0   5.91361111111   11.6877777778   2.22361111111   5.79388888889  
  56920             -1.0            -1.0   5.92777777778   11.7019444444   2.20805555556   5.77805555556  
  56921             -1.0            -1.0   5.94194444444   11.7161111111   2.17222222222          5.7425  
  56922             -1.0            -1.0   5.94638888889   11.7205555556   2.15666666667   5.72694444444  
  56923             -1.0            -1.0   5.96055555556   11.7347222222   2.12111111111   5.69138888889  
  56924             -1.0            -1.0   5.97472222222   11.7488888889   2.10527777778           5.955  
  56925             -1.0            -1.0   5.97916666667   11.7533333333   2.08972222222   5.93916666667  
  56926             -1.0            -1.0   5.99333333333         11.7675   2.05416666667   5.90361111111  
  56927             -1.0            -1.0          6.0075   11.7816666667   2.03833333333   5.88805555556  
  56928             -1.0            -1.0   6.01194444444   11.7861111111   2.02277777778   5.87222222222  
  56929             -1.0            -1.0   7.95083333333   11.8002777778   1.98722222222   7.76138888889  
  56930             -1.0            -1.0           7.965   11.8144444444   1.97138888889   7.74583333333  
  56931             -1.0            -1.0   7.98944444444   11.8288888889   1.93583333333            7.71  
  56932    1.37166666667   6.11861111111            -1.0            -1.0          6.6175   11.8430555556  
  56933    1.35611111111   7.34972222222            -1.0            -1.0   7.68861111111         11.8075  
  56934    1.32055555556   8.57055555556            -1.0            -1.0            8.79   11.8016666667  
  56935    1.30472222222   12.2547222222            -1.0            -1.0            -1.0            -1.0  
  56936    1.28916666667   12.2291666667            -1.0            -1.0            -1.0            -1.0  
  56937    1.27333333333   12.2036111111            -1.0            -1.0            -1.0            -1.0  
  56938             -1.0            -1.0            -1.0            -1.0            -1.0            -1.0  
  56939    1.22222222222   12.1822222222            -1.0            -1.0            -1.0            -1.0  
  56940    1.20638888889   12.1863888889            -1.0            -1.0            -1.0            -1.0  
  56941    1.19083333333   12.1808333333            -1.0            -1.0            -1.0            -1.0  
  56942    1.15527777778   12.1452777778            -1.0            -1.0            -1.0            -1.0  
  56943    4.29083333333   12.7877777778            -1.0            -1.0   1.68805555556   4.16138888889  
  56944    5.12305555556   12.3730555556            -1.0            -1.0          1.6725   4.97333333333  
  56945    6.02472222222   12.0183333333            -1.0            -1.0   1.65666666667   5.77555555556  
  56946    6.86666666667   12.8702777778            -1.0            -1.0   1.64111111111          6.5875  
  56947    7.74861111111   12.5055555556            -1.0            -1.0   1.62527777778   7.66888888889  
  56948             -1.0            -1.0          7.8925   12.0211111111   1.60972222222   7.65305555556  
  56949             -1.0            -1.0   7.90666666667   12.0355555556   1.57416666667          7.6175  
  56950             -1.0            -1.0   7.93111111111   12.0597222222   1.55833333333   7.60194444444  
  56951             -1.0            -1.0   7.92527777778   12.0538888889   1.54277777778   7.58611111111  
  56952             -1.0            -1.0   7.93944444444   12.0683333333   1.51722222222   7.83972222222  
  56953             -1.0            -1.0   7.96388888889         12.0925   1.50138888889   7.82416666667  
  56954             -1.0            -1.0   7.97805555556   12.1066666667   1.48583333333   7.80861111111  
  56955             -1.0            -1.0   7.98222222222   12.1011111111   1.47027777778   7.79277777778  
  56956             -1.0            -1.0   7.71722222222   12.1252777778   1.45444444444   7.77722222222  
  56957             -1.0            -1.0   7.73166666667   12.1394444444   1.43888888889   7.76138888889  
  56958             -1.0            -1.0   7.75583333333   12.1538888889   1.43305555556   7.76583333333  
  56959             -1.0            -1.0            7.75   12.1580555556          1.4175            7.74  
  56960             -1.0            -1.0   7.76444444444   12.1722222222   1.40166666667   7.72444444444  
  56961   0.817777777778   6.82111111111            -1.0            -1.0   6.60194444444   12.3761111111  
  56962   0.801944444444   8.05222222222            -1.0            -1.0   7.68305555556   12.3602777778  
  56963   0.806388888889   8.05638888889            -1.0            -1.0   8.78444444444   12.3647222222  
  56964   0.790555555556   9.28722222222            -1.0            -1.0   9.86583333333   12.3488888889  
  56965            0.775   11.7747222222            -1.0            -1.0            -1.0            -1.0  
  56966   0.759166666667   11.7591666667            -1.0            -1.0            -1.0            -1.0  
  56967             -1.0            -1.0            -1.0            -1.0            -1.0            -1.0  
  56968   0.738055555556   11.7377777778            -1.0            -1.0            -1.0            -1.0  
  56969   0.722222222222   11.7222222222            -1.0            -1.0            -1.0            -1.0  
  56970   0.706666666667   11.7063888889            -1.0            -1.0            -1.0            -1.0  
  56971   0.700833333333   11.7008333333            -1.0            -1.0            -1.0            -1.0  
  56972   0.685277777778          11.685            -1.0            -1.0            -1.0            -1.0  
  56973    4.71833333333   11.9686111111            -1.0            -1.0   1.25805555556   4.54888888889  
  56974    5.60027777778   12.8505555556            -1.0            -1.0   1.24222222222   5.36111111111  
  56975    6.47222222222   12.4758333333            -1.0            -1.0   1.23666666667   6.18305555556  
  56976    7.35416666667   12.1011111111            -1.0            -1.0   1.22083333333   7.26444444444  
  56977             -1.0            -1.0   7.98666666667   12.3847222222   1.22527777778   7.81722222222  
  56978             -1.0            -1.0   8.00083333333   12.4088888889   1.19944444444   7.80138888889  
  56979             -1.0            -1.0   8.01527777778   12.4230555556   1.20388888889   7.80583333333  
  56980             -1.0            -1.0   8.02944444444         12.4375   1.20805555556             7.8  
  56981             -1.0            -1.0   8.03361111111   12.4416666667          1.1925   7.78444444444  
  56982             -1.0            -1.0   8.04805555556   12.4558333333   1.18666666667   7.78861111111  
  56983             -1.0            -1.0   8.06222222222   12.4702777778   1.19111111111   7.78305555556  
  56984             -1.0            -1.0   8.08638888889   12.4844444444   1.17527777778   7.76722222222  
  56985             -1.0            -1.0   8.10055555556   12.5086111111   1.16972222222   7.77166666667  
  56986             -1.0            -1.0           8.095   12.5030555556   1.17388888889   7.76583333333  
