# manga_tileid n_ancillaries ancillary_weight
6139 0 1
6140 0 1
6141 0 1
6142 1 1.84782608695652
6143 1 1.84782608695652
6144 0 1
6145 1 0.943396226415094
6146 1 1.84782608695652
6147 0 1
6148 0 1
6149 0 1
6150 1 1.84782608695652
6151 0 1
6152 0 1
6153 0 1
6154 2 0.886792452830189
6155 0 1
6156 2 1.61006289308176
6157 0 1
6158 1 1.61290322580645
6159 5 2.68539789531605
6160 1 1.66666666666667
6161 2 1.96722907203115
6162 1 1.11940298507463
6163 2 1.06279921148972
6164 0 1
6165 2 1.23051409618574
6166 0 1
6167 1 1.13636363636364
6168 0 1
6169 0 1
6170 1 1.25
6171 0 1
6172 0 1
6173 0 1
6174 2 1.23880597014925
6175 0 1
6176 1 1.71428571428571
6177 2 1.79122231337162
6178 0 1
6179 0 1
6180 1 3.81818181818182
6181 0 1
6182 1 1.11111111111111
6183 0 1
6184 0 1
6185 0 1
6186 1 0.943396226415094
6187 1 1.11111111111111
6188 0 1
6189 2 1.27272727272727
6190 0 1
6191 2 4.53968253968254
6192 1 1.25
6193 0 1
6194 2 1.23051409618574
6195 0 1
6196 0 1
6197 1 1.11111111111111
6198 1 1.11940298507463
6199 0 1
6200 0 1
6201 1 1.13636363636364
6202 0 1
6203 1 0.655737704918033
6204 2 2.51449275362319
6205 1 1.11940298507463
6206 2 0.599133931333127
6207 5 1.69757397809759
6208 3 2.45273631840796
6209 1 1.61290322580645
6210 2 2.09782608695652
6211 0 1
6212 0 1
6213 0 1
6214 2 1.36111111111111
6215 0 1
6216 2 1.31111111111111
6217 1 1.13636363636364
6218 4 2.19774316821689
6219 1 1.11940298507463
6220 0 1
6221 1 1.11940298507463
6222 2 1.91666666666667
6223 0 1
6224 0 1
6225 0 1
6226 0 1
6227 0 1
6228 2 1.73230621088108
6229 1 1.11940298507463
6230 1 1.66666666666667
6231 1 1.13636363636364
6232 1 1.11111111111111
6233 2 1.50356379187455
6234 0 1
6235 2 1.23051409618574
6236 1 1.11940298507463
6237 0 1
6238 1 1.84782608695652
6239 0 1
6240 1 1.13636363636364
6241 1 1.11111111111111
6242 1 1.84782608695652
6243 1 0.655737704918033
6244 2 1.78606965174129
6245 1 1.84782608695652
6246 3 1.35820895522388
6247 0 1
6248 1 1.2
6249 0 1
6250 0 1
6251 2 1.77777777777778
6252 0 1
6253 0 1
6254 3 2.76211180124224
6255 0 1
6256 0 1
6257 1 1.66666666666667
6258 3 1.73051409618574
6259 0 1
6260 2 4.06818181818182
6261 0 1
6262 1 1.84782608695652
6263 1 1.66666666666667
6264 2 0.766848816029144
6265 0 1
6266 1 3.81818181818182
6267 2 1.50356379187455
6268 0 1
6269 0 1
6270 0 1
6271 2 1.23051409618574
6272 1 1.84782608695652
6273 1 1.11940298507463
6274 1 1.11111111111111
6275 0 1
6276 0 1
6277 1 3.81818181818182
6278 1 1.11111111111111
6279 1 1.11940298507463
6280 1 1.11940298507463
6281 1 0.943396226415094
6282 1 1.11111111111111
6283 1 1.61290322580645
6284 1 1.11940298507463
6285 1 1.13636363636364
6286 0 1
6287 1 1.13636363636364
6288 0 1
6289 1 1.66666666666667
6290 2 0.77514068999266
6291 0 1
6292 0 1
6293 1 0.943396226415094
6294 2 2.46072931276297
6295 2 0.311475409836065
6296 3 5.17783829074152
6297 1 0.943396226415094
6298 0 1
6299 0 1
6300 0 1
6301 0 1
6302 0 1
6303 1 1.61290322580645
6304 0 1
6305 0 1
6306 1 0.655737704918033
6307 1 1.11940298507463
6308 2 0.855737704918033
6309 0 1
6310 0 1
6311 0 1
6312 0 1
6313 4 1.49457259158752
6314 1 4.42857142857143
6315 0 1
6316 1 1.13636363636364
6317 0 1
6318 1 1.66666666666667
6319 1 1.66666666666667
6320 0 1
6321 1 1.61290322580645
6322 0 1
6323 1 1.11940298507463
6324 0 1
6325 3 1.56940298507463
6326 1 0.943396226415094
6327 2 4.06818181818182
6328 2 3.92929292929293
6329 0 1
6330 0 1
6331 0 1
6332 0 1
6333 0 1
6334 0 1
